Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume
Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
BTAI|60160|1285|127044|Q,N
BTAL|81083|0|117870|Q,N
BTBD|300|0|314|Q
BTBT|2008833|4222|5085514|B,Q,N
BTC|3109596|88|6372552|B,Q,N
BTCI|7415|0|8722|Q,N
BTCL|20829|0|60674|Q,N
BTCM|15160|0|21871|B,Q,N
BTCO|24023|221|45035|B,Q,N
BTCS|16497|71|35344|B,Q,N
BTCT|5176|0|24842|B,Q
BTCW|5260|26|8164|Q,N
BTCZ|5358|0|8854|Q,N
BTDR|534701|1574|1035234|B,Q,N
BTE|3021286|46740|5538933|B,Q,N
BTF|2429|127|6251|Q
BTFX|944|0|6487|Q,N
BTG|2130447|3710|3924761|B,Q,N
BTGD|41219|0|54452|Q,N
BTI|413006|9984|788587|B,Q,N
BTM|5402|2018|28330|Q,N
BTMD|5596|176|16013|Q,N
BTMWW|8244|16|15298|Q
BTO|6331|0|19578|Q,N
BTOC|17213|72|39686|B,Q,N
BTOG|3267|0|7257|Q,N
BTOP|38|0|506|Q
BTR|1|0|1|N
BTRN|4|0|79|Q
BTSG|163745|97|596464|B,Q,N
BTSGU|212|0|212|Q
BTT|16125|0|57897|Q
BTTR|13709|0|27897|Q
BTU|590298|597|956366|B,Q,N
BTZ|78393|4727|155198|B,Q,N
BUCK|22332|0|53231|Q,N
